event_type,timestamp_utc,description
CPI,2023-01-12 13:30,Dec 2022 CPI
FOMC,2023-02-01 19:00,Feb FOMC rate decision (+25bp)
CPI,2023-02-14 13:30,Jan 2023 CPI
CPI,2023-03-14 12:30,Feb 2023 CPI
FOMC,2023-03-22 18:00,Mar FOMC rate decision (+25bp)
CPI,2023-04-12 12:30,Mar 2023 CPI
FOMC,2023-05-03 18:00,May FOMC rate decision (+25bp)
CPI,2023-05-10 12:30,Apr 2023 CPI
CPI,2023-06-13 12:30,May 2023 CPI
FOMC,2023-06-14 18:00,Jun FOMC rate decision (hold)
CPI,2023-07-12 12:30,Jun 2023 CPI
FOMC,2023-07-26 18:00,Jul FOMC rate decision (+25bp)
CPI,2023-08-10 12:30,Jul 2023 CPI
CPI,2023-09-13 12:30,Aug 2023 CPI
FOMC,2023-09-20 18:00,Sep FOMC rate decision (hold)
CPI,2023-10-12 12:30,Sep 2023 CPI
FOMC,2023-11-01 18:00,Nov FOMC rate decision (hold)
CPI,2023-11-14 13:30,Oct 2023 CPI
CPI,2023-12-12 13:30,Nov 2023 CPI
FOMC,2023-12-13 19:00,"Dec FOMC rate decision (hold, dot plot)"
CPI,2024-01-11 13:30,Dec 2023 CPI
FOMC,2024-01-31 19:00,Jan 2024 FOMC (hold)
CPI,2024-02-13 13:30,Jan 2024 CPI
CPI,2024-03-12 12:30,Feb 2024 CPI
FOMC,2024-03-20 18:00,Mar 2024 FOMC (hold)
CPI,2024-04-10 12:30,Mar 2024 CPI (surprise +3.5%)
FOMC,2024-05-01 18:00,May 2024 FOMC (hold)
CPI,2024-05-15 12:30,Apr 2024 CPI
CPI,2024-06-12 12:30,May 2024 CPI
FOMC,2024-06-12 18:00,Jun 2024 FOMC (hold)
CPI,2024-07-11 12:30,Jun 2024 CPI
FOMC,2024-07-31 18:00,Jul 2024 FOMC (hold)
CPI,2024-08-14 12:30,Jul 2024 CPI
CPI,2024-09-11 12:30,Aug 2024 CPI
FOMC,2024-09-18 18:00,"Sep 2024 FOMC (-50bp, first cut)"
CPI,2024-10-10 12:30,Sep 2024 CPI
FOMC,2024-11-07 19:00,Nov 2024 FOMC (-25bp)
CPI,2024-11-13 13:30,Oct 2024 CPI
CPI,2024-12-11 13:30,Nov 2024 CPI
FOMC,2024-12-18 19:00,"Dec 2024 FOMC (-25bp, hawkish dot plot)"
CPI,2025-01-15 13:30,Dec 2024 CPI
FOMC,2025-01-29 19:00,Jan 2025 FOMC (hold)
CPI,2025-02-12 13:30,Jan 2025 CPI
CPI,2025-03-12 12:30,Feb 2025 CPI
FOMC,2025-03-19 18:00,"Mar 2025 FOMC (hold, tariff uncertainty)"
CPI,2025-04-10 12:30,Mar 2025 CPI
FOMC,2025-05-07 18:00,May 2025 FOMC (hold)
CPI,2025-05-13 12:30,Apr 2025 CPI
CPI,2025-06-11 12:30,May 2025 CPI
FOMC,2025-06-18 18:00,Jun 2025 FOMC
CPI,2025-07-15 12:30,Jun 2025 CPI
FOMC,2025-07-30 18:00,Jul 2025 FOMC
CPI,2025-08-12 12:30,Jul 2025 CPI
CPI,2025-09-10 12:30,Aug 2025 CPI
FOMC,2025-09-17 18:00,Sep 2025 FOMC
CPI,2025-10-14 12:30,Sep 2025 CPI
FOMC,2025-10-29 18:00,Oct 2025 FOMC
CPI,2025-11-12 13:30,Oct 2025 CPI
CPI,2025-12-10 13:30,Nov 2025 CPI
FOMC,2025-12-10 19:00,Dec 2025 FOMC
CPI,2026-01-14 13:30,Dec 2025 CPI (projected)
FOMC,2026-01-28 19:00,Jan 2026 FOMC (projected)
CPI,2026-02-11 13:30,Jan 2026 CPI (projected)
CPI,2026-03-11 12:30,Feb 2026 CPI (projected)
FOMC,2026-03-18 18:00,Mar 2026 FOMC (projected)
CPI,2026-04-08 12:30,Mar 2026 CPI (projected)
